name,category,lat,lon,address,city,phone,website,source,opportunity_score
Uptown,restaurant,42.2977996,-83.0163034,,Windsor,,,OSM,40
Gyros & More,restaurant,42.2980371,-83.0209511,,Windsor,,,OSM,40
Napoli Pizza,restaurant,42.2977606,-83.0191563,,Windsor,,,OSM,40
Eddy's Mediterranean Bistro,restaurant,42.297805,-83.0188829,,Windsor,,,OSM,40
Mi Mi Gardens,restaurant,42.2978997,-83.0184235,,Windsor,,,OSM,40
The Lumberjack,restaurant,42.2974625,-83.0171743,,Windsor,,,OSM,40
Thai Lan Xang,restaurant,42.2855928,-83.0132094,,Windsor,,,OSM,40
Orient Grill,restaurant,42.2482608,-83.061619,,Windsor,,,OSM,40
Koi Sushi,restaurant,42.2489631,-83.0618222,,Windsor,,,OSM,40
The G.o.a.t.,restaurant,42.2489675,-83.0615107,,Windsor,,,OSM,40
Applebee's,restaurant,42.27595,-83.0514946,,Windsor,,,OSM,40
